cobra_reaction_id,gerosa_reaction_id
FUMtex,FUM_SEC
LDH_D,LDH_D
D_LACt2pp,D_LACt2
PGK,PGK
PGM,PGM
ACt2rpp,ACt2r
ACKr,ACKr
PTAr,PTAr
ACS,ACS
FRUtex,FRUpts
FRUK,FRUK
GALabcpp,GALabc
GALKr,GALKr
UGLT,UGLT
PGMT,PGMT
GLCptspp,GLCpts
GLYCtex,GlycUpt
GLYK,GLYK
G3PD5,G3PD5
GLCNtex,GlcnUpt
GNK,GNK
PYRt2rpp,PYRt2r
SUCCtex,SUCCt
PGI,PGI
PFK,PFK
FBP,FBP
FBA,FBA
TPI,TPI
GAPD,GAPD
ENO,ENO
PYK,PYK
PPS,PPS
PDH,PDH
EDD,EDD
EDA,EDA
G6PDH2r,ZWF
PGL,PGL
GND,GND
RPI,RPI
RPE,RPE
TKT1,TKT1
TALA,TALA
TKT2,TKT2
PPC,PPC
PPCK,PPCK
CS,CS
ACONTa,ACONT
ACONTb,ACONT2
ICDHyr,ICDHyr
AKGDH,AKGDH
SUCOAS,SUCOAS
SUCDi,SUCDH3 
FUM,FUM
MDH,MDH
MDH2,MQO
ME1,ME1
ME2,ME2
ICL,ICL
MALS,MALS
